Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,4644.5,4699.5,4625,4694,4694,162655
2015-11-03,4688.25,4727.5,4677,4712,4712,186758
2015-11-04,4711.75,4729.75,4691.25,4709.5,4709.5,231004
2015-11-05,4708.25,4727.5,4673.75,4695.25,4695.25,246167
2015-11-06,4700.75,4708.75,4658.75,4703,4703,276682
2015-11-09,4701.25,4712.75,4622,4652.75,4652.75,256938
2015-11-10,4650,4662.25,4612.5,4643,4643,241859
2015-11-11,4640.25,4674.75,4625.25,4631.75,4631.75,221698
2015-11-12,4631.25,4653.25,4581.25,4585.25,4585.25,268158
2015-11-13,4583.75,4590.5,4485.75,4502,4502,344229
2015-11-16,4478.25,4565.5,4455,4559.75,4559.75,282188
2015-11-17,4560.75,4597.75,4552,4569.5,4569.5,269684
2015-11-18,4570.25,4656.75,4556.25,4652.5,4652.5,242823
2015-11-19,4649.75,4677,4646.75,4660,4660,217266
2015-11-20,4656.75,4691.5,4652.25,4689.5,4689.5,177125
2015-11-23,4689.5,4706.75,4653.75,4675.75,4675.75,163322
2015-11-24,4673.75,4684.5,4620,4666,4666,230131
2015-11-25,4665,4684.5,4659.5,4677.25,4677.25,119712
2015-11-27,4679.75,4703.25,4664.75,4682.5,4682.5,105382
2015-11-30,4685.5,4700.5,4653.5,4668.75,4668.75,179766
2015-12-01,4678.75,4716.75,4676.5,4716.25,4716.25,228425
2015-12-02,4715,4739.5,4678.5,4694.5,4694.5,231812
2015-12-03,4698.75,4730.25,4579,4611,4611,379530
2015-12-04,4616,4723.25,4603,4713.25,4713.25,305073
2015-12-07,4721.25,4730,4670.5,4701,4701,224657
2015-12-08,4699.75,4709,4641.25,4687.25,4687.25,299288
2015-12-09,4690.5,4707.5,4593.25,4616,4616,388709
2015-12-10,4624,4674.5,4618.25,4644,4644,302768
2015-12-11,4646.25,4659,4527.5,4539.25,4539.25,226524
2015-12-14,4534.5,4579.5,4477.25,4566.5,4566.5,156220
2015-12-15,4571.5,4639,4566.75,4606,4606,151196
2015-12-16,4607.5,4674.5,4580,4663,4663,71664
2015-12-17,4656.75,4689.5,4574,4577.75,4577.75,49751
2015-12-18,4577,4597,4552.5,4576,4576,340479
2015-12-21,4513.75,4571.75,4511.75,4563,4563,176610
2015-12-22,4569,4594.5,4541.25,4591,4591,166650
2015-12-23,4590.5,4620.25,4583,4606.75,4606.75,147737
2015-12-24,4607.75,4630,4600.75,4611,4611,62054
2015-12-28,4611,4619.5,4571.5,4613.75,4613.75,113567
2015-12-29,4617.75,4697.75,4610.5,4690.5,4690.5,158098
2015-12-30,4687.25,4695,4643.5,4646,4646,117427
2015-12-31,4648,4655,4579.5,4587.75,4587.75,160705
2016-01-04,4592.5,4606.75,4429.75,4504.5,4504.5,368671
2016-01-05,4505.5,4523,4457.25,4483.75,4483.75,301175
2016-01-06,4482,4487.5,4386,4446.75,4446.75,346779
2016-01-07,4450.25,4458.5,4283,4289.25,4289.25,501315
2016-01-08,4298,4370,4255.75,4261.5,4261.5,480513
2016-01-11,4264.25,4304.5,4208.75,4273,4273,435576
2016-01-12,4272.25,4345.75,4236.5,4312.75,4312.75,417581
2016-01-13,4308.75,4365,4167.25,4175.75,4175.75,521065
2016-01-14,4181.5,4300.5,4124,4257.5,4257.5,526505
2016-01-15,4255,4268.75,4075.75,4140.75,4140.75,567530
2016-01-18,null,null,null,null,null,null
2016-01-19,4126.75,4215.75,4091.25,4144.5,4144.5,475760
2016-01-20,4141,4171.5,3983.5,4133,4133,628240
2016-01-21,4130.75,4192.25,4085.75,4130.25,4130.25,554096
2016-01-22,4126.25,4253,4119,4247.5,4247.5,328593
2016-01-25,4247.5,4260,4179.25,4186.75,4186.75,287599
2016-01-26,4190,4243.75,4133,4226.75,4226.75,327223
2016-01-27,4195.25,4218.75,4102,4127,4127,408523
2016-01-28,4150.25,4199,4106.75,4153.75,4153.75,414082
2016-01-29,4135,4271.25,4129,4263,4263,328862
2016-02-01,4263.25,4309.25,4228.5,4291.5,4291.5,263363
2016-02-02,4286.5,4287,4170.75,4192,4192,314726
2016-02-03,4186,4215,4090.5,4171.5,4171.5,484500
2016-02-04,4169.75,4206.5,4113.5,4155.75,4155.75,383175
2016-02-05,4146.5,4173.5,4001,4022,4022,443077
2016-02-08,4027.25,4046,3883,3964.25,3964.25,542371
2016-02-09,3958.5,4004,3897.5,3944.25,3944.25,499993
2016-02-10,3954.5,4041,3922.25,3967.25,3967.25,426911
2016-02-11,3963,3985.5,3862.5,3961.25,3961.25,504866
2016-02-12,3963.25,4017.5,3953,4006.25,4006.25,307347
2016-02-15,null,null,null,null,null,null
2016-02-16,4021.5,4104.75,4021.5,4092.75,4092.75,320588
